Name,Updated Name,Link,Scientific Name,Status in Britain,Population Size In Breeding Season,Population Number,2 letter code,long code,Image Url,2nd Image,,habitat.Broad-leaved Woodland,habitat.Coniferous Woodland,habitat.Scrub & Bushy Commons,habitat.Heath & Dry Grassland,habitat.Open Upland Moor,habitat.Pasture & Grazed Fields,habitat.Arable Farmland,habitat.Marsh and Wet Grassland,habitat.Boggy Moorland,habitat.Reed Swamp & Fen,habitat.Open Coastal Habitat,habitat.Villages & Rural Areas,habitat.Towns & Cities,habitat.Lakes & Large Waterbodies,habitat.Ponds & Small Waterbodies,habitat.Rivers (2m wide or more),habitat.Streams (less than 2m),habitat.Coastal Estuaries,habitat.Rocky and Sandy Shoreline,eurobirdLink,foundIn
Sparrowhawk,Eurasian Sparrowhawk,http://app.bto.org/birdfacts/results/bob2690.htm,Accipiter nisus,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",SH,SPARR,,,,85,70,55,15,40,45,50,35,30,0,15,60,35,,,,,,,https://eurobirdportal.org/ebp/en/#home/ACCNIS/p52weeks,Wood & fields
Buzzard,Common Buzzard,http://app.bto.org/birdfacts/results/bob2870.htm,Buteo buteo,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",BZ,BUZZA,https://images.unsplash.com/photo-1604180207192-ddd9e6a2c86b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,80,80,85,20,55,70,40,45,35,15,5,30,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/BUTBUT/p52weeks,"Wood, moor, heath and farmland"
Snipe,Common Snipe,http://app.bto.org/birdfacts/results/bob5190.htm,Gallinago gallinago,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",SN,SNIPE,https://images.unsplash.com/photo-1618091383014-e8ee2cf6191d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,,,,55,60,10,1,90,80,20,,,,100,20,30,50,10,20,https://eurobirdportal.org/ebp/en/#home/GALGAL/p52weeks,Wet grassland
Grey Wagtail,,http://app.bto.org/birdfacts/results/bob10190.htm,Motacilla cinerea,"Resident Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",GL,GREWA,https://images.unsplash.com/photo-1599660899353-0ed65f7d070a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2073&q=80,,,,,,35,70,50,15,65,45,30,,,,40,20,100,40,0,1,,"Banks of swift streams, lakes"
Whinchat,,http://app.bto.org/birdfacts/results/bob11370.htm,Saxicola rubetra,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",WC,WHINC,,,,1,20,10,70,100,10,1,35,30,0,0,5,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/SAXRUB/p52weeks,"Open grassland, meadow"
Curlew,Eurasian Curlew,http://app.bto.org/birdfacts/results/bob5410.htm,Numenius arquata,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",CU,CURLE,,,,5,5,10,55,100,25,5,65,55,35,20,5,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/NUMARQ/p52weeks,"Marsh, grassland, on migration mudflats"
Sandwich Tern,,http://app.bto.org/birdfacts/results/bob6110.htm,Thalasseus sandvicensis,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",TE,SANTE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/STESAN/p52weeks,"Sandy seacoasts, in winter estuaries"
Arctic Tern,,http://app.bto.org/birdfacts/results/bob6160.htm,Sterna paradisaea,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",AE,ARCTE,,,,,,,,,,,,,,,,,,,,,,,,"Seacoast, tundra, lakes, rivers, in winter pelagic"
Leach’s Petrel,Leach's Storm Petrel,http://app.bto.org/birdfacts/results/bob550.htm,Oceanodroma leucorhoa,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",TL,LEAPE,,,,,,,,,,,,,,,,,,,,,,,,"Pelagic, breeds in island burrows"
Pied Flycatcher,Eurasian Pied Flycatcher,http://app.bto.org/birdfacts/results/bob13490.htm,Ficedula hypoleuca,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",PF,PIEFL,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/FICHYP/p52weeks,"Open forest, woodland, towns"
Common Sandpiper,,http://app.bto.org/birdfacts/results/bob5560.htm,Actitis hypoleucos,"Migrant Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",CS,COMSA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ACTHYP/p52weeks,"Rivers & lakes, on migration marsh & seacoast"
Stonechat,,http://app.bto.org/birdfacts/results/bob11393.htm,Saxicola rubicola,Migrant/Resident Breeder,"10,000 - 100,000 Pairs","200,000",SC,STOCH,,,,,,,,,,,,,,,,,,,,,,,,
Common Gull,,http://app.bto.org/birdfacts/results/bob5900.htm,Larus canus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",CM,COMGU,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LARCAN/p52weeks,"Seacoasts, lakes, rivers, moor"
Black Guillemot,,http://app.bto.org/birdfacts/results/bob6380.htm,Cepphus grylle,Resident Breeder,"10,000 - 100,000 Pairs","200,000",TY,BLAGU,,,,,,,,,,,,,,,,,,,,,,,,"Rocky islands & cliffs, otherwise pelagic"
Shag,European Shag,http://app.bto.org/birdfacts/results/bob800.htm,Phalacrocorax aristotelis,Resident Breeder,"10,000 - 100,000 Pairs","200,000",SA,SHAG.,,,,,,,,,,,,,,,,,,,,,,,,Coastal
Dipper,White-throated Dipper,http://app.bto.org/birdfacts/results/bob10500.htm,Cinclus cinclus,Resident Breeder,"10,000 - 100,000 Pairs","200,000",DI,DIPPE,,,,,,,,,,,,,,,,,,,,,,,,Rapid rivers
Rock Pipit,Eurasian Rock Pipit,http://app.bto.org/birdfacts/results/bob10142.htm,Anthus petrosus,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",RC,ROCPI,,,,,,,,,,,,,,,,,,,,,,,,Rocky seacoast
Eider,Common Eider,http://app.bto.org/birdfacts/results/bob2060.htm,Somateria mollissima,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs","200,000",E.,EIDER,,,,,,,,,,,,,,,,,,,,,,,,"Tundra ponds, lakes, seacoasts"
Sand Martin,,http://app.bto.org/birdfacts/results/bob9810.htm,Riparia riparia,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Nests","500,000",SM,SANMA,,,,15,20,5,30,0,70,40,40,0,0,30,30,5,,,,,,,https://eurobirdportal.org/ebp/en/#home/RIPRIP/p52weeks,"Open country, usually near water"
Tree Sparrow,Eurasian Tree Sparrow,http://app.bto.org/birdfacts/results/bob15980.htm,Passer montanus,"Resident Breeder, Passage Visitor","100,000 - 500,000 Territories","500,000",TS,TRESP,https://images.unsplash.com/photo-1620748741969-c68debdd255e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,,,20,1,25,10,0,55,100,15,0,5,0,60,25,,,,,,,,"Open woodland, farmland, towns, near man"
Moorhen,Common Moorhen,http://app.bto.org/birdfacts/results/bob4240.htm,Gallinula chloropus,"Resident Breeder, Winter Visitor","100,000 - 500,000 Territories","500,000",MH,MOORH,,,,,,,0,0,0,0,0,0,0,,,,65,100,75,25,30,5,,"Marsh, reedbed, small lakes"
Sedge Warbler,,http://app.bto.org/birdfacts/results/bob12430.htm,Acrocephalus schoenobaenus,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Territories","500,000",SW,SEDWA,,,,,,,5,1,5,10,30,5,100,,,,55,50,90,35,60,40,https://eurobirdportal.org/ebp/en/#home/ACRSCH/p52weeks,"Reedbed, marshes"
Stock Dove,Stock Pigeon,http://app.bto.org/birdfacts/results/bob6680.htm,Columba oenas,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories","500,000",SD,STODO,,,,85,20,45,30,5,65,100,30,0,1,15,85,30,,,,,,,,"Farmland, towns, open woodlands"
Bullfinch,Eurasian Bullfinch,http://app.bto.org/birdfacts/results/bob17100.htm,Pyrrhula pyrrhula,"Resident Breeder, Scarce Visitor","100,000 - 500,000 Territories","500,000",BF,BULLF,https://images.unsplash.com/photo-1615988045407-6bd8404252e0?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1671&q=80,,,85,65,95,25,5,50,35,20,10,40,15,65,30,,,,,,,,"Forest, woodland, farmland"
Jay,Eurasian Jay,http://app.bto.org/birdfacts/results/bob15390.htm,Garrulus glandarius,Resident Breeder,"100,000 - 500,000 Territories","500,000",J.,JAY..,https://images.unsplash.com/photo-1579437903194-faf427a99947?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,100,60,55,20,5,25,25,10,0,25,5,40,35,,,,,,,https://eurobirdportal.org/ebp/en/#home/GARGLA/p52weeks,"Forest, woodland, towns"
Long-tailed Tit,,http://app.bto.org/birdfacts/results/bob14370.htm,Aegithalos caudatus,Resident Breeder,"100,000 - 500,000 Territories","500,000",LT,LOTTI,https://images.unsplash.com/photo-1613573057441-a216856f1468?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,https://images.unsplash.com/photo-1612812330944-72a758538482?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2107&q=80,,100,35,65,25,5,40,40,20,5,20,5,60,45,,,,,,,,"Woodland, woodland edge"
Nuthatch,Eurasian Nuthatch,http://app.bto.org/birdfacts/results/bob14790.htm,Sitta europaea,Resident Breeder,"100,000 - 500,000 Territories","500,000",NH,NUTHA,https://images.unsplash.com/photo-1589059218995-eb41db1ff6ab?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,100,15,30,10,5,30,10,5,1,1,1,35,20,,,,,,,,"Forest, woodland, towns"
Treecreeper,Eurasian Treecreeper,http://app.bto.org/birdfacts/results/bob14860.htm,Certhia familiaris,Resident Breeder,"100,000 - 500,000 Territories","500,000",TC,TREEC,,,,100,60,35,15,5,30,15,5,10,5,5,20,5,,,,,,,,"Forest, woodland"
Reed Bunting,Common Reed Bunting,http://app.bto.org/birdfacts/results/bob18770.htm,Emberiza schoeniclus,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories","500,000",RB,REEBU,,,,5,5,15,10,10,10,15,35,20,100,25,5,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/EMBSCH/p52weeks,"Reedbed, riverine scrub"
Hooded Crow,,http://app.bto.org/birdfacts/results/bob15673.htm,Corvus cornix,"Resident Breeder, Winter Visitor","100,000 - 500,000 Territories","500,000",HC,HOOCR,https://images.unsplash.com/photo-1638173970759-25da499041cb?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,5,15,20,25,10,30,1,30,100,0,0,10,1,,,,,,,,Almost everywhere
Garden Warbler,,http://app.bto.org/birdfacts/results/bob12760.htm,Sylvia borin,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Territories","500,000",GW,GARWA,,,,80,55,100,15,10,35,30,5,1,1,1,35,15,,,,,,,https://eurobirdportal.org/ebp/en/#home/SYLBOR/p52weeks,"Forest edge, scrub, towns"
Linnet,Common Linnet,http://app.bto.org/birdfacts/results/bob16600.htm,Linaria cannabina,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories","500,000",LI,LINNE,,,,20,15,50,45,20,50,75,35,10,55,100,60,20,,,,,,,https://eurobirdportal.org/ebp/en/#home/CARCAN/p52weeks,"Open country, farmland"
Barnacle Goose,,http://app.bto.org/birdfacts/results/bob1670.htm,Branta leucopsis,"Escaped Breeder, Winter Visitor","100,000 - 500,000 Birds","500,000",BY,BARGO,,,,,,,,,,,,,,,,,,,,,,,,"Marsh, rivers, on migration also estuaries"
Knot,Red Knot,http://app.bto.org/birdfacts/results/bob4960.htm,Calidris canutus,Passage/Winter Visitor,"100,000 - 500,000 Birds","500,000",KN,KNOT.,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, on migration coastal"
Jack Snipe,,http://app.bto.org/birdfacts/results/bob5180.htm,Lymnocryptes minimus,Passage/Winter Visitor,"100,000 - 500,000 Birds","500,000",JS,JACSN,,,,,,,,,,,,,,,,,,,,,,,,Swamp & wet grassland
Wigeon,Eurasian Wigeon,http://app.bto.org/birdfacts/results/bob1790.htm,Mareca penelope,"Resident Breeder, Winter Visitor","100,000 - 500,000 Birds","500,000",WN,WIGEO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANAPEN/p52weeks,"Marsh, lakes, open moor, on migration also estuaries"
Common Scoter,,http://app.bto.org/birdfacts/results/bob2130.htm,Melanitta nigra,"Resident/Migrant Breeder, Passage/Winter Visitor","100,000 - 500,000 Birds","500,000",CX,COMSC,,,,,,,,,,,,,,,,,,,,,,,,"Tundra lakes, on migration rivers, lakes & coasts"
Brambling,,http://app.bto.org/birdfacts/results/bob16380.htm,Fringilla montifringilla,"Scarce Breeder, Passage/Winter Visitor","100,000 - 500,000 Birds","500,000",BL,BRAMB,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/FRIMON/p52weeks,Open birch-conifer woodland
Brent Goose,,http://app.bto.org/birdfacts/results/bob1680.htm,Branta bernicla,Winter Visitor,"100,000 - 500,000 Birds","500,000",BG,BREGO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/BRABER/p52weeks,"Tundra, on migration marshes & estuaries"
Gannet,Northern Gannet,http://app.bto.org/birdfacts/results/bob710.htm,Morus bassanus,"Migrant/Resident Breeder, Passage Visitor","100,000 - 500,000 Nests","500,000",GX,GANNE,,,,,,,,,,,,,,,,,,,,,,,,"Pelagic, breeds on open islands and coastal cliffs"
Mistle Thrush,,http://app.bto.org/birdfacts/results/bob12020.htm,Turdus viscivorus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Territories","500,000",M.,MISTH,https://images.unsplash.com/photo-1616161569988-a582260c44a8?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,,,,,,,,,,,,,,,,,,,,,"Forest, woodland, towns"
Mallard,,http://app.bto.org/birdfacts/results/bob1860.htm,Anas platyrhynchos,"Introduced/Resident Breeder, Winter Visitor","100,000 - 500,000 Pairs","1,000,000",MA,MALLA,,,,,,,0,0,0,0,0,0,0,,,,85,85,95,40,60,25,,Anywhere with water
Reed Warbler,Eurasian Reed Warbler,http://app.bto.org/birdfacts/results/bob12510.htm,Acrocephalus scirpaceus,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Pairs","1,000,000",RW,REEWA,,,,,,,1,0,1,5,15,0,100,,,,50,40,55,20,85,35,,"Reedbed, scrub"
Lesser Black-backed Gull,Lesser Blackback,http://app.bto.org/birdfacts/results/bob5910.htm,Larus fuscus,"Migrant/Resident Breeder, Passage Visitor","100,000 - 500,000 Pairs","1,000,000",LB,LBBGU,,,,,,,5,1,15,5,10,0,0,,,,30,10,20,1,90,85,,"Seacoasts, lakes, rivers"
Yellowhammer,,http://app.bto.org/birdfacts/results/bob18570.htm,Emberiza citrinella,"Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Territories","1,000,000",Y.,YELHA,,,,25,15,35,20,5,40,100,5,0,15,10,30,5,,,,,,,,"Grassland, farmland"
Coal Tit,,http://app.bto.org/birdfacts/results/bob14610.htm,Periparus ater,Resident Breeder,"500,000 - 1 million Territories","1,000,000",CT,COATI,,,,35,100,30,10,5,15,10,10,5,10,1,15,10,,,,,,,,"Woodland, towns"
Magpie,Black-billed Magpie,http://app.bto.org/birdfacts/results/bob15490.htm,Pica pica,Resident Breeder,"500,000 - 1 million Territories","1,000,000",MG,MAGPI,https://images.unsplash.com/photo-1558788305-680d68564b0b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,https://images.unsplash.com/photo-1634908139757-34f26bce425e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2060&q=80,,50,15,50,30,5,55,30,20,10,40,30,75,100,,,,,,,,"Open woodland, scrub, towns"
Great Spotted Woodpecker,,http://app.bto.org/birdfacts/results/bob8760.htm,Dendrocopos major,"Resident Breeder, Scarce Visitor","100,000 - 500,000 Pairs","1,000,000",GS,GRSWO,https://images.unsplash.com/photo-1642347648078-155f54293f38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,,,100,35,35,15,5,30,30,10,1,1,1,45,25,,,,,,,,"Forest, woodland, towns"
Black-headed Gull,Common Black-headed Gull,http://app.bto.org/birdfacts/results/bob5820.htm,Chroicocephalus ridibundus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs","1,000,000",BH,BLHGU,,,,,,,10,5,10,10,15,10,30,,,,30,15,30,5,100,30,https://eurobirdportal.org/ebp/en/#home/CHRRID/p52weeks,"Lakes, rivers, moors, grassland, coasts"
Siskin,Eurasian Siskin,http://app.bto.org/birdfacts/results/bob16540.htm,Spinus spinus,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs","1,000,000",SK,SISKI,https://images.unsplash.com/photo-1614182685672-41bfa40fe707?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2232&q=80,,,5,100,30,5,10,5,1,10,10,0,0,1,0,,,,,,,https://eurobirdportal.org/ebp/en/#home/CARSPI/p52weeks,Woodland
Swallow,Barn Swallow,http://app.bto.org/birdfacts/results/bob9920.htm,Hirundo rustica,"Migrant Breeder, Passage Visitor","500,000 - 1 million Territories","1,000,000",SL,SWALL,https://images.unsplash.com/photo-1613492697585-e9c360e39b1f?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,25,10,30,20,10,75,40,20,10,20,30,100,25,,,,,,,https://eurobirdportal.org/ebp/en/#home/HIRRUS/p52weeks,"Open country, usually near water, farmland"
Goldcrest,,http://app.bto.org/birdfacts/results/bob13140.htm,Regulus regulus,"Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Territories","1,000,000",GC,GOLDC,https://images.unsplash.com/photo-1605360890517-93e668d170bd?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,35,100,35,10,10,15,10,10,5,1,0,25,15,,,,,,,,Coniferous & mixed forest
Oystercatcher,Eurasian Oystercatcher,http://app.bto.org/birdfacts/results/bob4500.htm,Haematopus ostralegus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs","1,000,000",OC,OYSTE,,,,,,,25,10,10,10,25,10,1,,,,20,5,15,5,100,80,,"Sandy, muddy, rocky beaches"
Lesser Redpoll,Common Redpoll,http://app.bto.org/birdfacts/results/bob16634.htm,Acanthis cabaret,Migrant/Resident Breeder,"100,000 - 500,000 Pairs","1,000,000",LR,LESRE,,,,15,100,65,20,25,15,1,20,35,20,0,15,1,,,,,,,,"Woodland, birch/willow scrub"
Carrion Crow,,http://app.bto.org/birdfacts/results/bob15671.htm,Corvus corone,"Resident Breeder, Winter Visitor",1 million Territories,"1,000,000",C.,CARCR,https://images.unsplash.com/photo-1591490573452-92022b07e9de?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,80,40,55,45,35,80,60,30,10,50,55,85,100,,,,,,,,Almost everywhere
Pied Wagtail,White Wagtail,http://app.bto.org/birdfacts/results/bob10200.htm,Motacilla alba,"Migrant/Resident Breeder, Passage Visitor","100,000 - 500,000 Pairs","1,000,000",PW,PIEWA,,,,35,25,40,45,40,75,55,30,25,70,30,100,50,,,,,,,https://eurobirdportal.org/ebp/en/#home/MOTALB/p52weeks,"Open country, often near water"
Lapwing,Northern Lapwing,http://app.bto.org/birdfacts/results/bob4930.htm,Vanellus vanellus,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs","1,000,000",L.,LAPWI,,,,,,,55,65,40,40,85,20,80,,,,70,75,50,60,100,40,https://eurobirdportal.org/ebp/en/#home/VANVAN/p52weeks,"pasture, wet meadow, on migration estuaries"
Redstart,Common Redstart,http://app.bto.org/birdfacts/results/bob11220.htm,Phoenicurus phoenicurus,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Pairs","1,000,000",RT,REDST,,,,75,55,40,70,70,85,5,30,5,15,0,10,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHOPHO/p52weeks,Woodland
Wheatear,Northern Wheatear,http://app.bto.org/birdfacts/results/bob11460.htm,Oenanthe oenanthe,"Migrant Breeder, Passage Visitor","100,000 - 500,000 Pairs","1,000,000",W.,WHEAT,,,,5,5,5,55,100,10,5,40,45,15,35,5,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/OENOEN/p52weeks,Open country
Manx Shearwater,,http://app.bto.org/birdfacts/results/bob460.htm,Puffinus puffinus,Migrant Breeder,"100,000 - 500,000 Pairs","1,000,000",MX,MANSH,,,,,,,,,,,,,,,,,,,,,,,,"Pelagic, breeds in island burrows & on cliffs"
Kittiwake,Black-legged Kittiwake,http://app.bto.org/birdfacts/results/bob6020.htm,Rissa tridactyla,"Migrant/Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs","1,000,000",KI,KITTI,,,,,,,,,,,,,,,,,,,,,,,,"Coastal cliffs, otherwise pelagic"
Razorbill,,http://app.bto.org/birdfacts/results/bob6360.htm,Alca torda,"Migrant/Resident Breeder, Winter Visitor","100,000 - 500,000 Pairs","1,000,000",RA,RAZOR,,,,,,,,,,,,,,,,,,,,,,,,"Coastal cliffs, otherwise pelagic"
Red Grouse,,http://app.bto.org/birdfacts/results/bob3292.htm,Lagopus lagopus,Resident Breeder,"100,000 - 500,000 Pairs","1,000,000",RG,REDGR,,,,,,,,,,,,,,,,,,,,,,,,
Herring Gull,,http://app.bto.org/birdfacts/results/bob5920.htm,Larus argentatus,"Resident Breeder, Passage/Winter Visitor","100,000 - 500,000 Pairs","1,000,000",HG,HERGU,,,,,,,,,,,,,,,,,,,,,,,,
Redwing,,http://app.bto.org/birdfacts/results/bob12010.htm,Turdus iliacus,"Migrant/Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Birds","1,000,000",RE,REDWI,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/TURILI/p52weeks,Northern forest & tundra scrub
Fieldfare,,http://app.bto.org/birdfacts/results/bob11980.htm,Turdus pilaris,"Scarce Breeder, Passage/Winter Visitor","500,000 - 1 million Birds","1,000,000",FF,FIELD,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/TURPIL/p52weeks,"Forest, woodland, towns"
Pink-footed Goose,,http://app.bto.org/birdfacts/results/bob1580.htm,Anser brachyrhynchus,Winter Migrant,"500,000 - 1 million Birds","1,000,000",PG,PIFGO,,,,,,,,,,,,,,,,,,,,,,,,"Tundra lakes, rivers & wet meadows"
Whitethroat,Common Whitethroat,http://app.bto.org/birdfacts/results/bob12750.htm,Sylvia communis,"Migrant Breeder, Passage Visitor",1.1 million Territories,"1,100,000",WH,WHITE,,,,30,10,70,25,1,40,85,20,1,90,55,50,20,,,,,,,https://eurobirdportal.org/ebp/en/#home/SYLCOM/p52weeks,Scrub
Chiffchaff,Common Chiffchaff,http://app.bto.org/birdfacts/results/bob13110.htm,Phylloscopus collybita,"Migrant Breeder, Passage/Winter Visitor",1.1 million Territories,"1,100,000",CC,CHIFF,,,,100,45,80,20,1,45,30,20,5,55,15,55,30,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHYCOL/p52weeks,"Open forest, scrub"
Blackcap,Eurasian Blackcap,http://app.bto.org/birdfacts/results/bob12770.htm,Sylvia atricapilla,"Migrant Breeder, Passage/Winter Visitor",1.1 million Territories,"1,100,000",BC,BLACA,,,,100,30,65,20,5,40,40,15,5,25,10,55,35,,,,,,,https://eurobirdportal.org/ebp/en/#home/SYLATR/p52weeks,"Forest, open woodland, towns"
Song Thrush,,http://app.bto.org/birdfacts/results/bob12000.htm,Turdus philomelos,"Migrant/Resident Breeder, Passage/Winter Visitor",1.1 million Territories,"1,100,000",ST,SONTH,https://images.unsplash.com/photo-1625853142574-bdce6d5ed97a?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,https://images.unsplash.com/photo-1586677333132-dee1736c8b73?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,,100,75,80,30,15,55,40,20,10,35,10,90,60,,,,,,,https://eurobirdportal.org/ebp/en/#home/TURPHI/p52weeks,"Woodland, scrub, towns"
Skylark,Sky Lark,http://app.bto.org/birdfacts/results/bob9760.htm,Alauda arvensis,"Resident Breeder, Passage/Winter Visitor",1.4 million Territories,"1,400,000",S.,SKYLA,,,,20,15,30,65,100,35,85,60,90,50,40,30,5,,,,,,,https://eurobirdportal.org/ebp/en/#home/ALAARV/p52weeks,"Grassland, fields, tundra, sand dunes"
Woodpigeon,Common Wood Pigeon,http://app.bto.org/birdfacts/results/bob6700.htm,Columba palumbus,"Resident Breeder, Winter Visitor",5.3 million Pairs,"1,600,000",WP,WOODP,,,,100,60,70,30,10,65,75,25,5,45,30,90,90,,,,,,,https://eurobirdportal.org/ebp/en/#home/COLPAL/p52weeks,"Towns, woodland"
Greenfinch,European Greenfinch,http://app.bto.org/birdfacts/results/bob16490.htm,Chloris chloris,"Resident Breeder, Winter Visitor",1.7 million Pairs,"1,700,000",GR,GREFI,https://images.unsplash.com/photo-1623274324811-3121be60bbeb?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2046&q=80,,,40,15,35,15,1,50,50,15,1,25,15,100,80,,,,,,,,"Open woodland, farmland, gardens"
