Name,Updated Name,Link,Scientific Name,Status in Britain,Population Size In Breeding Season,Population Number,2 letter code,long code,Image Url,2nd Image,,habitat.Broad-leaved Woodland,habitat.Coniferous Woodland,habitat.Scrub & Bushy Commons,habitat.Heath & Dry Grassland,habitat.Open Upland Moor,habitat.Pasture & Grazed Fields,habitat.Arable Farmland,habitat.Marsh and Wet Grassland,habitat.Boggy Moorland,habitat.Reed Swamp & Fen,habitat.Open Coastal Habitat,habitat.Villages & Rural Areas,habitat.Towns & Cities,habitat.Lakes & Large Waterbodies,habitat.Ponds & Small Waterbodies,habitat.Rivers (2m wide or more),habitat.Streams (less than 2m),habitat.Coastal Estuaries,habitat.Rocky and Sandy Shoreline,eurobirdLink,foundIn
Firecrest,,http://app.bto.org/birdfacts/results/bob13150.htm,Regulus ignicapilla,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Territories,"1,000",FC,FIREC,,,,,,,,,,,,,,,,,,,,,,,,Coniferous & mixed forest
Whimbrel,,http://app.bto.org/birdfacts/results/bob5380.htm,Numenius phaeopus,"Migrant Breeder, Passage Visitor",500 - 1000 Pairs,"2,000",WM,WHIMB,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, moor, heath, on migration marsh & estuary"
Shoveler,Northern Shoveler,http://app.bto.org/birdfacts/results/bob1940.htm,Spatula clypeata,"Migrant Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",SV,SHOVE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANACLY/p52weeks,"Shallow lakes, marsh, reedbed & wet meadow"
Mediterranean Gull,,http://app.bto.org/birdfacts/results/bob5750.htm,Ichthyaetus melanocephalus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",MU,MEDGU,,,,,,,,,,,,,,,,,,,,,,,,"Steppe, seacoasts, marshes, lakes"
Hen Harrier,Northern Harrier,http://app.bto.org/birdfacts/results/bob2610.htm,Circus cyaneus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",HH,HENHA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CIRCYA/p52weeks,"Moor, marsh, steppe and fields"
Little Egret,,http://app.bto.org/birdfacts/results/bob1190.htm,Egretta garzetta,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,"2,000",ET,LITEG,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, marsh, flooded fields & estuary"
Hawfinch,,http://app.bto.org/birdfacts/results/bob17170.htm,Coccothraustes coccothraustes,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,"2,000",HF,HAWFI,https://images.unsplash.com/photo-1616010107983-b006a14939f2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,,,,,,,,,,,,,,,,,,,,,Deciduous & mixed woodland
Bearded Tit,,http://app.bto.org/birdfacts/results/bob13640.htm,Panurus biarmicus,"Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",BR,BEATI,,,,,,,,,,,,,,,,,,,,,,,,Reedbed
Capercaillie,Western Capercaillie,http://app.bto.org/birdfacts/results/bob3350.htm,Tetrao urogallus,Re-introduced Breeder,"1,000 - 10,000 Adults","10,000",CP,CAPER,,,,,,,,,,,,,,,,,,,,,,,,Conifer forest
Balearic Shearwater,,http://app.bto.org/birdfacts/results/bob463.htm,Puffinus mauretanicus,Passage Visitor,"1,000 - 10,000 Birds","10,000",YQ,BALSH,,,,,,,,,,,,,,,,,,,,,,,,"Pelagic, breeds in island burrows"
Velvet Scoter,,http://app.bto.org/birdfacts/results/bob2151.htm,Melanitta fusca,Passage/Winter Visitor,"1,000 - 10,000 Birds","10,000",VS,VELSC,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-browed Warbler,,http://app.bto.org/birdfacts/results/bob13000.htm,Phylloscopus inornatus,Passage/Winter Visitor,"1,000 - 10,000 Birds","10,000",YB,YEBWA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHYINO/p52weeks,"Open forest, woodland, scrub"
Scaup,Greater Scaup,http://app.bto.org/birdfacts/results/bob2040.htm,Aythya marila,"Scarce Breeder, Passage/Winter Visitor","1,000 - 10,000 Birds","10,000",SP,SCAUP,,,,,,,,,,,,,,,,,,,,,,,,"Tundra lakes, on migration open lakes & coasts"
Purple Sandpiper,,http://app.bto.org/birdfacts/results/bob5100.htm,Calidris maritima,"Scarce Breeder, Passage/Winter Visitor","1,000 - 10,000 Birds","10,000",PS,PURSA,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, moor, heath, on migration rocky coasts"
Great Northern Diver,Common Loon,http://app.bto.org/birdfacts/results/bob40.htm,Gavia immer,"Scarce Breeder, Winter Visitor","1,000 - 10,000 Birds","10,000",ND,GRNDI,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, ponds & rivers"
Bewick's Swan,,http://app.bto.org/birdfacts/results/bob1530.htm,Cygnus columbianus,Winter Migrant,"1,000 - 10,000 Birds","10,000",BS,BEWSW,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, ponds & rivers, also estuaries on migration"
